ticker,date,pattern,status,rs_1m_pct,rs_3m_pct,rs_6m_pct
SFIX,2019-03-12,DT SW,OK,23.81826525929327,-5.796089385474856,-40.29652578003983
GH,2019-03-13,UT,insufficient_history,,,
CGC,2019-02-15,CPH,OK,11.670702179176761,17.713118938233798,87.32737611697807
DOMO,2019-03-14,UTU,OK,5.512343591477853,46.96184644371173,52.418172936003906
MDB,2019-03-14,UT,OK,5.005539329237596,25.538832028898263,25.162064825930376
STNE,2019-03-19,UT,insufficient_history,,,
LSCC,2019-05-01,UDS,OK,8.549874266554891,71.75066312997347,83.16831683168316
UXIN,2019-03-14,DT SW,OK,37.31343283582089,-14.179104477611936,-13.69606003752345
TNDM,2019-05-01,UDS,OK,-3.2913385826771724,48.15440289505426,76.21233859397417
EHTH,2019-04-26,UDS,OK,0.8927122220418804,13.825306720380869,105.41969596827494
CRC,2019-05-03,DT SW,OK,-31.252295262578045,-7.096774193548383,-36.348180890853456
EOLS,2019-05-01,DT SW,OK,8.01949490474081,61.56394963552021,73.39971550497866
VCYT,2019-05-01,UTU,OK,-8.593125499600319,28.990411731528475,138.47758081334723
CDNA,2019-05-09,UTU,OK,4.1443372633083175,15.537059056678547,6.193078324225865
GH,2019-05-10,DT SW,OK,-3.1882744031429655,60.29522141606203,82.37973242243093
NIO,2019-05-28,DT,OK,-21.224489795918377,-57.111111111111114,-49.67405475880052
PD,2019-06-07,UTU,insufficient_history,,,
STNE,2019-05-14,DT SW,OK,-25.574873808188435,25.484633569739955,-9.727891156462587
SFIX,2019-06-06,DT SW,OK,-13.883814395323347,-16.889985895627646,-13.757775338455902
MOMO,2019-05-28,DT,OK,-29.427719012747488,-26.372382569326547,-15.05060398302318
OMCL,2019-07-26,DT,OK,-18.19655052668133,-8.659687217267676,9.260977118119973
ZM,2019-06-07,UDS,insufficient_history,,,
CHRS,2019-08-02,UTU,OK,-25.827526132404177,5.579665220086816,26.523031203566116
CDNA,2019-08-02,UDS,OK,-4.788574628955478,19.80267794221282,21.29860863360684
PAYS,2019-08-06,UTU,insufficient_history,,,
APPS,2019-08-06,UT,OK,7.604562737642584,39.40886699507391,159.63302752293575
ADNT,2019-08-06,DT SW,OK,-18.25497670478611,-20.73921971252567,-2.129817444219062
TEN,2019-08-06,DT,OK,-23.915139826422372,-62.53561253561253,-77.30149597238206
ROKU,2019-08-08,UDS,OK,-2.3500967117988436,55.52988293284042,108.70194295163289
