ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
MVIS,MVIS,,6M,1,2020-10-09,2020-10-29,20,small,4.0,1.0,2020-10-09,43.35,43.35,,
MVIS,MVIS,,1M+3M+6M,3,2020-12-15,2021-01-05,21,small,3.0,4.0,2020-12-22; 2021-01-15; 2021-01-26; 2021-02-16,146.064; 112.2; 127.2; 362.7,362.7,,
MVIS,MVIS,,1M+3M+6M,3,2021-02-08,2021-06-23,135,small,1.0,4.0,2021-02-16; 2021-04-27; 2021-06-07; 2021-06-10,362.7; 420.0; 351.9; 370.3485,370.3485,,
MVIS,MVIS,,3M+6M,2,2022-07-15,2022-08-10,26,small,5.0,1.0,2022-08-04,89.4,89.4,,
MVIS,MVIS,,1M+3M+6M,3,2023-05-31,2023-06-22,22,small,2.0,1.0,2023-06-07,123.0,123.0,,
MVIS,MVIS,,1M,1,2025-01-22,2025-01-27,5,small,7.0,2.0,2025-01-23; 2025-02-20,29.25; 28.95,28.95,,
MVST,MVST,,1M+3M+6M,3,2023-07-27,2023-08-10,14,small,5.0,1.0,2023-08-01,2.91,2.91,,
MVST,MVST,,1M+3M+6M,3,2024-12-09,2025-01-17,39,small,1.0,3.0,2024-12-30; 2025-01-10; 2025-02-19,2.86; 2.87; 2.42,2.42,,
MVST,MVST,,1M+3M+6M,3,2025-04-17,2025-06-30,74,small,1.0,4.0,2025-04-23; 2025-05-13; 2025-05-27; 2025-06-17,2.4; 3.465; 4.32; 4.7196,4.7196,,
MWA,MWA,,1M+3M+6M,3,2007-06-28,2007-07-09,11,mid,2.0,1.0,2007-08-10,16.29,16.29,,
MWA,MWA,,3M,1,2009-10-06,2009-10-08,2,small,14.0,1.0,2009-10-23,5.93,5.93,,
MWV^15,MWV,,1M,1,2009-04-02,2009-04-06,4,mid,13.0,2.0,2009-04-03; 2009-05-07,13.43; 17.33,17.33,,
MWW^16,MWW,,1M+3M+6M,3,2012-03-19,2012-03-20,1,small,6.0,2.0,2012-03-20; 2012-03-26,9.7701; 10.4,10.4,,
MWW^16,MWW,,1M+3M+6M,3,2012-09-07,2012-10-16,39,small,5.0,1.0,2012-09-13,9.05,9.05,,
MWW^16,MWW,,1M+3M+6M,3,2015-02-19,2015-03-09,18,small,2.0,2.0,2015-03-03; 2015-03-19,6.84; 6.68,6.68,,
MX,MX,,1M+3M+6M,3,2026-05-29,2026-06-04,6,small,7.0,1.0,2026-06-03,9.86,9.86,,
MXC,MXC,,1M+3M+6M,3,2022-03-07,2022-03-11,4,small,2.0,2.0,2022-03-07; 2022-04-14,43.0; 19.99,19.99,,
MXIM^21,MXIM,,1M,1,2009-01-30,2009-02-03,4,mid,13.0,1.0,2009-02-06,14.04,14.04,,
MXIM^21,MXIM,,1M+3M+6M,3,2018-02-06,2018-02-13,7,large_plus,2.0,1.0,2018-03-12,64.4,64.4,,
MXL,MXL,,6M,1,2016-03-10,2016-03-28,18,small,7.0,1.0,2016-04-04,19.1,19.1,,
MXL,MXL,,1M+3M+6M,3,2021-12-13,2021-12-23,10,mid,2.0,2.0,2021-12-13; 2021-12-28,75.86; 77.89,77.89,,
MXL,MXL,,1M+3M+6M,3,2026-04-21,2026-07-14,84,mid,1.0,6.0,2026-04-24; 2026-05-11; 2026-05-26; 2026-06-22; 2026-06-30; 2026-07-14,63.52; 104.27; 106.28; 98.9899; 128.3; 98.49,98.49,,
MXWL^19,MXWL,,1M+3M+6M,3,2014-03-11,2014-05-20,70,small,1.0,3.0,2014-03-18; 2014-05-02; 2014-05-27,16.15; 17.02; 18.43,18.43,,
MYGN,MYGN,,1M+3M+6M,3,2008-11-12,2008-11-21,9,mid,1.0,1.0,2008-12-18,67.78,67.78,,
MYGN,MYGN,,1M+3M+6M,3,2013-12-03,2013-12-06,3,mid,5.0,1.0,2013-12-19,24.75,24.75,,
MYGN,MYGN,,1M+3M+6M,3,2014-04-10,2014-05-12,32,mid,1.0,4.0,2014-04-24; 2014-05-01; 2014-06-05; 2014-06-16,40.83; 42.5; 36.06; 37.14,37.14,,
MYGN,MYGN,,1M+3M+6M,3,2019-08-01,2019-08-13,12,mid,1.0,3.0,2019-08-02; 2019-09-19; 2019-09-24,48.4; 28.91; 31.22,31.22,,
MYGN,MYGN,,1M+3M+6M,3,2019-10-04,2019-11-06,33,mid,1.0,2.0,2019-11-04; 2019-11-25,35.29; 26.8,26.8,,
