ticker,chart_symbol,former_symbols,n_streaks,first_seen,last_seen,streak_spans,windows_per_streak,any_triple,mktcap_bucket,best_rank,total_flagpoles,data_warning,reviewed,notes
AKBA,AKBA,,4,2015-09-22,2020-05-27,2015-09-22..2015-10-20; 2017-05-08..2017-05-15; 2020-02-05..2020-03-05; 2020-05-05..2020-05-27,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 6M,True,small,2,10,,,
AKCA^20,AKCA,,2,2017-09-22,2018-04-25,2017-09-22..2017-10-04; 2018-03-20..2018-04-25,1M; 1M+3M+6M,True,mid,1,5,,,
AKRO^25,AKRO,,4,2022-09-13,2025-06-17,2022-09-13..2023-01-31; 2024-06-27..2024-07-02; 2025-01-30..2025-02-18; 2025-05-12..2025-06-17,1M+3M+6M; 6M; 1M+3M+6M; 1M+6M,True,small,1,13,,,
AKS^20,AKS,,15,2007-03-02,2019-11-11,2007-03-02..2007-03-19; 2007-10-23..2007-10-24; 2008-02-12..2008-04-02; 2009-04-16..2009-04-17; 2009-06-11..2009-09-25; 2010-01-19..2010-01-25; 2012-08-27..2012-09-20; 2013-09-20..2013-09-23; 2015-04-21..2015-05-18; 2016-02-19..2016-05-04; 2016-06-15..2016-08-11; 2016-10-11..2016-12-30; 2019-02-01..2019-02-15; 2019-07-23..2019-08-14; 2019-11-01..2019-11-11,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+6M; 1M+3M+6M; 6M,True,small,1,45,,,
AKTX,AKTX,,2,2017-04-06,2019-04-02,2017-04-06..2017-05-03; 2019-03-18..2019-04-02,1M+3M+6M; 1M+3M+6M,True,small,1,3,,,
ALAB,ALAB,,5,2024-09-19,2026-07-14,2024-09-19..2025-01-14; 2025-05-21..2025-06-05; 2025-07-21..2025-09-30; 2025-12-30..2026-01-16; 2026-04-14..2026-07-14,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,large_plus,1,24,,,
ALAR,ALAR,,1,2024-05-29,2024-07-17,2024-05-29..2024-07-17,1M+3M+6M,True,small,1,2,,,
ALB,ALB,,6,2009-01-21,2026-05-11,2009-01-21..2009-01-22; 2022-05-20..2022-06-13; 2024-03-06..2024-04-16; 2025-10-10..2025-12-04; 2026-02-02..2026-02-27; 2026-04-10..2026-05-11,1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 3M+6M; 6M,True,large_plus,1,17,,,
ALBO^23,ALBO,,2,2020-09-08,2022-10-17,2020-09-08..2020-09-18; 2022-10-11..2022-10-17,1M; 1M,False,small,5,4,,,
ALD.1^10,ALD,,2,2009-01-09,2010-02-03,2009-01-09..2009-01-23; 2010-02-02..2010-02-03,1M; 3M,False,small,2,2,,,
ALDR^19,ALDR,,14,2015-05-18,2019-04-08,2015-05-18..2015-07-24; 2015-11-13..2015-11-24; 2015-11-25..2015-12-04; 2016-04-06..2016-04-25; 2016-06-02..2016-06-17; 2016-08-01..2016-10-05; 2017-02-14..2017-02-27; 2017-10-19..2017-10-20; 2018-01-08..2018-01-26; 2018-04-27..2018-04-30; 2018-06-08..2018-07-16; 2018-08-16..2018-08-17; 2019-01-29..2019-02-15; 2019-04-05..2019-04-08,1M+3M+6M; 1M; 6M; 1M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M; 1M+3M+6M; 1M; 3M+6M; 1M+3M+6M; 6M,True,small,2,25,,,
ALDX,ALDX,,1,2018-09-26,2018-10-18,2018-09-26..2018-10-18,1M+3M+6M,True,small,4,1,,,
ALEC,ALEC,,3,2020-01-30,2021-07-26,2020-01-30..2020-02-24; 2020-05-21..2020-06-10; 2021-07-02..2021-07-26,1M+3M+6M; 6M; 1M+3M+6M,True,small,1,7,,,
ALFIQ,ALFIQ,"ALFI, ALF",1,2021-06-29,2021-07-14,2021-06-29..2021-07-14,1M,False,small,1,1,,,
ALGM,ALGM,,4,2021-12-17,2026-07-13,2021-12-17..2022-01-05; 2025-02-19..2025-03-31; 2026-02-04..2026-02-13; 2026-06-22..2026-07-13,1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M,True,mid,3,10,,,
ALGN,ALGN,,3,2005-04-28,2018-02-06,2005-04-28..2005-05-09; 2006-10-05..2006-10-18; 2018-02-05..2018-02-06,1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,2,4,,,
ALGS,ALGS,,2,2024-12-10,2025-01-14,2024-12-10..2024-12-12; 2024-12-13..2025-01-14,1M; 3M+6M,False,small,6,5,,,
ALGT,ALGT,,5,2008-09-09,2026-02-17,2008-09-09..2009-01-08; 2009-03-18..2009-04-21; 2020-06-08..2020-06-11; 2024-11-08..2024-11-15; 2026-02-12..2026-02-17,1M+3M+6M; 6M; 1M; 3M; 1M+3M,True,small,1,18,,,
ALHC,ALHC,,3,2024-09-23,2026-06-29,2024-09-23..2024-11-11; 2025-03-18..2025-04-25; 2026-06-26..2026-06-29,1M+3M+6M; 1M+3M+6M; 1M,True,mid,2,6,,,
ALIT,ALIT,,1,2026-07-17,2026-07-30,2026-07-17..2026-07-30,1M,False,small,4,2,,,
ALJ^17,ALJ,,2,2014-11-05,2015-08-25,2014-11-05..2014-11-10; 2015-08-21..2015-08-25,1M+3M; 3M+6M,False,small,7,4,,,
ALK,ALK,,4,2008-02-12,2010-05-21,2008-02-12..2008-02-28; 2008-08-12..2008-08-22; 2008-11-03..2009-01-20; 2010-05-20..2010-05-21,3M+6M; 1M; 1M+3M+6M; 6M,True,small,2,12,,,
ALKS,ALKS,,4,2013-05-31,2020-03-05,2013-05-31..2013-06-07; 2015-09-25..2015-09-28; 2018-02-21..2018-03-06; 2020-02-28..2020-03-05,1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M,True,large_plus,2,9,,,
ALL,ALL,,2,2008-12-19,2009-05-29,2008-12-19..2009-01-12; 2009-04-08..2009-05-29,1M+6M; 1M+3M+6M,True,large_plus,3,4,,,
ALLGF,ALLGF,,1,2022-03-25,2022-04-07,2022-03-25..2022-04-07,1M+3M+6M,True,mid,1,1,,,
ALLK^25,ALLK,,5,2019-04-09,2022-10-21,2019-04-09..2019-04-16; 2019-08-08..2019-08-28; 2019-11-20..2019-12-26; 2020-11-03..2020-11-09; 2022-09-09..2022-10-21,6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M,True,small,1,14,,,
ALLO,ALLO,,6,2020-03-09,2026-04-13,2020-03-09..2020-03-11; 2020-04-30..2020-06-08; 2022-06-15..2022-08-26; 2023-05-05..2023-05-15; 2024-02-06..2024-02-15; 2026-02-17..2026-04-13,1M; 1M+3M; 1M+3M+6M; 1M; 1M; 1M+3M+6M,True,small,4,16,,,
ALLT,ALLT,,2,2012-04-23,2012-07-06,2012-04-23..2012-04-24; 2012-06-21..2012-07-06,1M+3M+6M; 1M+3M+6M,True,small,2,4,,,
ALM,ALM,,2,2025-10-14,2026-05-05,2025-10-14..2025-10-22; 2025-12-19..2026-05-05,1M; 1M+3M+6M,True,mid,2,7,,,
