IPO Only
2025-07-01

Ticker,Name,Start,End,Pct,Rank,Sector,Industry,MktCap,Price,EPSExclXorGr%PYQ,SalesPSGr%PYQ,EPSExclXorGr%TTM,SalesPSGr%TTM,ROE%TTM,#Institution,Inst%Own,InstNetPurch,
TEM,"Tempus AI, Inc.",59.18,57.93,-2.11,79.75,Healthcare,N/A,11455.59,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BROS,"Dutch Bros, Inc.",66.05,71.81,8.72,79.68,Consumer Services,N/A,11367.76,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
DOCS,"Doximity, Inc.",59.31,20.74,-65.03,79.63,Healthcare,N/A,11277.26,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
DTM,"DT Midstream, Inc.",102.94,146.74,42.54,79.47,Energy,N/A,11060.18,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
HIMS,"Hims & Hers Health, Inc.",47.46,34.67,-26.95,79.14,Healthcare,N/A,10725.92,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
IONQ,"IonQ, Inc.",44.75,53.26,19.02,78.91,Technology,N/A,10530.73,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SMR,NuScale Power Corp.,35.21,10.03,-71.51,78.83,Industrials,N/A,10459.90,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SARO,"StandardAero, Inc.",30.97,29.91,-3.42,78.65,Industrials,N/A,10365.52,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
PCOR,"Procore Technologies, Inc.",70.35,40.62,-42.26,78.37,Finance,N/A,10122.62,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
U,"Unity Software, Inc.",24.28,28.58,17.71,77.96,Technology,N/A,9797.07,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
LINE,"Lineage, Inc.",41.30,43.25,4.71,77.83,Finance,N/A,9694.97,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
KD,"Kyndryl Holdings, Inc.",42.37,11.31,-73.31,77.75,Technology,N/A,9585.86,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
TTAN,"ServiceTitan, Inc.",108.78,70.71,-35.00,77.70,Technology,N/A,9546.94,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BIRK,Birkenstock Holding Plc,49.05,43.03,-12.27,77.39,Consumer Cyclicals,N/A,9286.28,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
FYBR^26,"Frontier Communications Parent, Inc.",36.50,38.48,5.42,77.06,Telecommunications,N/A,9083.97,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CAVA,"Cava Group, Inc.",82.71,78.48,-5.11,76.91,Consumer Services,N/A,9008.76,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
KVYO,"Klaviyo, Inc.",32.85,15.10,-54.03,76.44,Technology,N/A,8739.43,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
AUR,"Aurora Innovation, Inc.",5.17,6.82,31.91,76.34,Consumer Cyclicals,N/A,8713.96,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RGC,Regencell Bioscience Holdings Ltd.,10.36,6.09,-41.22,76.21,Healthcare,N/A,8604.11,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
NXT,"Nextpower, Inc.",61.04,119.14,95.18,76.03,Industrials,N/A,8465.37,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
INFA^25,"Informatica, Inc. (California)",24.33,24.79,1.89,76.01,Technology,N/A,8414.47,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SRAD,Sportradar Group AG,27.82,14.97,-46.19,75.93,Consumer Services,N/A,8363.42,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
LOAR,"Loar Holdings, Inc.",81.66,80.61,-1.29,75.57,Industrials,N/A,8231.06,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BZ,Kanzhun Ltd.,17.66,12.87,-27.11,75.49,Technology,N/A,8185.59,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CFLT^26,"Confluent, Inc.",25.60,30.99,21.05,75.47,Technology,N/A,8173.83,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
OKLO,"Oklo, Inc.",51.33,52.33,1.95,75.31,Business Services,N/A,8078.85,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ROIV,Roivant Sciences Ltd.,10.97,35.39,222.61,74.72,Healthcare,N/A,7742.99,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BRBR,"BellRing Brands, Inc.",57.50,12.94,-77.50,74.19,Consumer Non-Cyclicals,N/A,7509.70,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
GTLB,"Gitlab, Inc.",45.14,30.53,-32.37,74.11,Technology,N/A,7449.80,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ESAB,ESAB Corp.,124.48,98.63,-20.76,73.80,Industrials,N/A,7317.11,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
LLYVK,"Liberty Live Holdings, Inc.",80.25,105.64,31.64,73.77,Consumer Services,N/A,7308.30,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BXSL,Blackstone Secured Lending Fund,27.27,23.71,-13.04,73.49,Finance,N/A,7139.85,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
JOBY,"Joby Aviation, Inc.",10.16,8.92,-12.20,73.47,Industrials,N/A,7137.99,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
PATH,"UiPath, Inc.",12.85,10.87,-15.41,73.36,Technology,N/A,7084.16,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
WAY,Waystar Holding Corp.,38.67,20.53,-46.91,73.06,Healthcare,N/A,6879.24,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
STVN,Stevanato Group SpA,24.48,18.07,-26.18,72.72,Healthcare,N/A,6724.22,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ACHR,"Archer Aviation, Inc.",9.98,4.73,-52.61,72.49,Industrials,N/A,6638.10,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
OS^26,"OneStream, Inc.",26.58,24.00,-9.71,72.47,Technology,N/A,6627.72,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ZK^25,ZEEKR Intelligent Technology Holding Ltd.,25.74,26.73,3.85,72.41,Consumer Cyclicals,N/A,6623.73,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
STEP,"StepStone Group, Inc.",54.73,41.36,-24.43,72.39,Finance,N/A,6622.44,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
LTH,"Life Time Group Holdings, Inc.",29.31,40.84,39.34,72.29,Consumer Services,N/A,6593.49,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
JXN,"Jackson Financial, Inc.",85.23,102.39,20.14,72.08,Finance,N/A,6567.57,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ALGM,"Allegro MicroSystems, Inc.",35.72,69.62,94.90,71.49,Technology,N/A,6285.81,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CCC,"CCC Intelligent Solutions Holdings, Inc.",9.61,5.16,-46.31,71.16,Finance,N/A,6175.44,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
UPST,"Upstart Holdings, Inc.",73.39,35.43,-51.72,70.82,Finance,N/A,6030.32,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
S,"SentinelOne, Inc.",18.13,16.97,-6.40,70.46,Technology,N/A,5892.06,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BEPC,Brookfield Renewable Corp.,31.95,37.12,16.20,70.44,Utilities,N/A,5891.85,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
GXO,"GXO Logistics, Inc.",50.53,50.70,0.34,70.28,Industrials,N/A,5852.16,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ACT,"Enact Holdings, Inc.",36.73,45.71,24.44,70.05,Finance,N/A,5726.58,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
AMTM,"Amentum Holdings, Inc.",24.30,20.67,-14.94,69.98,Industrials,N/A,5705.44,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CHRD,Chord Energy Corp.,99.27,114.30,15.14,69.95,Energy,N/A,5700.39,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
VNT,Vontier Corp.,37.95,29.00,-23.59,69.90,Industrials,N/A,5686.90,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
AHR,"American Healthcare REIT, Inc.",35.59,52.15,46.53,69.80,Finance,N/A,5640.47,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CWAN^26,"Clearwater Analytics Holdings, Inc.",21.77,24.56,12.82,69.69,Finance,N/A,5600.90,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SEZL,"Sezzle, Inc.",172.30,171.63,-0.39,69.64,Technology,N/A,5599.40,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SGHC,Super Group (SGHC) Ltd.,10.47,13.55,29.36,69.62,Consumer Services,N/A,5587.83,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
NUVL,"Nuvalent, Inc.",80.50,123.50,53.42,69.49,Healthcare,N/A,5561.47,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
GLBE,Global-e Online Ltd.,32.80,34.73,5.88,69.39,Consumer Cyclicals,N/A,5480.68,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SOBO,South Bow Corp.,24.54,35.24,43.60,69.16,Energy,N/A,5394.85,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
MNSO,MINISO Group Holding Ltd.,17.46,12.06,-30.95,69.13,Consumer Non-Cyclicals,N/A,5380.65,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
MP,MP Materials Corp.,32.37,56.01,73.03,69.10,Non-Energy Materials,N/A,5377.55,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
VERX,"Vertex, Inc.",34.71,11.48,-66.93,69.08,Technology,N/A,5363.94,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
LB,LandBridge Co. LLC,66.74,79.24,18.73,68.85,Finance,N/A,5337.61,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
OSCR,"Oscar Health, Inc.",16.62,28.52,71.60,68.51,Healthcare,N/A,5194.49,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
MIR,"Mirion Technologies, Inc.",20.42,17.93,-12.19,68.15,Technology,N/A,5048.45,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BULL,Webull Corp.,14.01,6.52,-53.46,67.98,Finance,N/A,5006.95,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
